time_s,mass_residual,heat_identity_residual,integral_QT,integral_QC,capacity_correction
1.920000000000000000e+03,9.176822713188870217e-16,7.991025086084846407e-08,-4.066162751573637252e+03,5.655685687854272216e-05,-1.165960818275204701e+03
1.980000000000000000e+03,9.232591362436093352e-16,9.734208106237929314e-08,-4.244953460147009537e+03,5.808697134884934231e-05,-1.202465258184080767e+03
2.040000000000000000e+03,9.374621847031694433e-16,8.435745257884263992e-08,-4.424657437215729260e+03,5.960925807674950333e-05,-1.239083246846922520e+03
2.100000000000000000e+03,9.455056095702962793e-16,6.807158570154570043e-08,-4.603009317729211034e+03,6.112399320451860599e-05,-1.275819478851664371e+03
2.160000000000000000e+03,9.565780242568044933e-16,7.272342372743878514e-08,-4.779131011203579874e+03,6.263128704018658605e-05,-1.312669308528665397e+03
2.220000000000000000e+03,9.570930202887351079e-16,8.513688953826203942e-08,-4.956519118661689390e+03,6.413129028392184543e-05,-1.349632598133681313e+03
2.280000000000000000e+03,9.578113042280067546e-16,6.832715371274389327e-08,-5.133478355778422156e+03,6.562428579723277012e-05,-1.386717418741608981e+03
2.340000000000000000e+03,9.619990351192320155e-16,8.876531865098513663e-08,-5.310673221382710835e+03,6.711065035767210753e-05,-1.423929233318056959e+03
2.400000000000000000e+03,9.627308715856597310e-16,6.952359399292618036e-08,-5.487653734455154336e+03,6.859057678739481558e-05,-1.461273362752699541e+03
2.460000000000000000e+03,9.659157154673359003e-16,8.916640581446699798e-08,-5.664244219320098637e+03,7.006408137620574001e-05,-1.498745279054451657e+03
2.520000000000000000e+03,9.664036064449543773e-16,7.404923962894827127e-08,-5.840584508932472090e+03,7.153138867246948375e-05,-1.536350397648062426e+03
2.580000000000000000e+03,9.712554111668270096e-16,5.777792466687969863e-08,-6.012002257124982862e+03,7.299257109624955023e-05,-1.574084326050192885e+03
2.640000000000000000e+03,9.720685627961911379e-16,7.859125616960227489e-08,-6.182802307977833152e+03,7.444775562144321048e-05,-1.611941783000694159e+03
2.700000000000000000e+03,9.759445855628268163e-16,6.065397428756114095e-08,-6.354505464741817377e+03,7.589725953505919694e-05,-1.649932463315996529e+03
2.760000000000000000e+03,9.804575771057977285e-16,3.982790985901374370e-08,-6.521300862812163359e+03,7.734110752172057535e-05,-1.688052785874117262e+03
2.820000000000000000e+03,9.822058531089306044e-16,4.997878022550139576e-08,-6.683178265054315489e+03,7.877925854925723888e-05,-1.726291185464661112e+03
2.880000000000000000e+03,9.873016033196124752e-16,6.864934221084695309e-08,-6.845122340009231266e+03,8.021195449998700581e-05,-1.764648661143045274e+03
2.940000000000000000e+03,9.900392138051383739e-16,4.242974682711064816e-08,-7.003793888771996535e+03,8.163922214154739404e-05,-1.803124624350751219e+03
3.000000000000000000e+03,9.895242177732077593e-16,6.029245014360640198e-08,-7.157607291378923037e+03,8.306117164124014415e-05,-1.841713395224904389e+03
3.060000000000000000e+03,1.000162951590721772e-15,4.365347194834612310e-08,-7.308624711539165219e+03,8.447784299363062779e-05,-1.880409982174165179e+03
3.120000000000000000e+03,1.000284924335126391e-15,6.811796993133611977e-08,-7.461376864547170953e+03,8.588935538692118923e-05,-1.919214022960335114e+03
3.180000000000000000e+03,1.001382679034767964e-15,4.553248800220899284e-08,-7.615375683078024849e+03,8.729590976256486692e-05,-1.958135217249344805e+03
3.240000000000000000e+03,1.016534404395252889e-15,4.103799255972262472e-08,-7.766084176669367480e+03,8.869742309884614130e-05,-1.997168114142487639e+03
3.300000000000000000e+03,1.028257340385252405e-15,2.016759026446379721e-08,-7.914846556275979310e+03,9.009409069048857467e-05,-2.036314046520791180e+03
3.360000000000000000e+03,1.033231117851529657e-15,-1.597072696313261986e-09,-8.059306618502771016e+03,9.148601983870282195e-05,-2.075571714792815328e+03
3.420000000000000000e+03,1.038069370046246220e-15,1.306898411712609231e-08,-8.200033889854103109e+03,9.287325141446334817e-05,-2.114934659416263003e+03
3.480000000000000000e+03,1.041430396780951284e-15,-1.108401193050667644e-08,-8.336224744963099511e+03,9.425582983060523017e-05,-2.154398708260571766e+03
3.540000000000000000e+03,1.047651006745586866e-15,1.791704562492668629e-10,-8.467397323831255562e+03,9.563372249060950517e-05,-2.193954261979956755e+03
3.600000000000000000e+03,1.050659667774234141e-15,2.317119651706889272e-08,-8.599784801690866516e+03,9.700709588418924818e-05,-2.233601905588590853e+03
3.660000000000000000e+03,1.053993589454627067e-15,-9.522409527562558651e-10,-8.731554718019862776e+03,9.837601178595068222e-05,-2.273344640626940418e+03
3.720000000000000000e+03,1.059983806457609479e-15,7.904418453108519316e-09,-8.859983608601198284e+03,9.974038614448534166e-05,-2.313175835466904573e+03
3.780000000000000000e+03,1.075664080377181087e-15,6.496975402114912868e-09,-8.987622983456818474e+03,1.011002898247516997e-04,-2.353094137826013593e+03
3.840000000000000000e+03,1.080448122463273375e-15,-1.162788976216688752e-08,-9.112815868781081008e+03,1.024558635965797533e-04,-2.393101907787772689e+03
3.900000000000000000e+03,1.088999767098752791e-15,-3.634750100900419056e-08,-9.233966374739697130e+03,1.038072098398380553e-04,-2.433197426731761425e+03
3.960000000000000000e+03,1.125456065148577878e-15,-6.240452421479858458e-08,-9.352099391624076816e+03,1.051542175232203459e-04,-2.473371405440307626e+03
4.020000000000000000e+03,1.128424068595756946e-15,-7.812377589289098978e-08,-9.466067200024146587e+03,1.064969745064290755e-04,-2.513621842449474570e+03
4.080000000000000000e+03,1.133357188480565991e-15,-5.869924279977567494e-08,-9.574344720211669483e+03,1.078355452183452030e-04,-2.553943781107969244e+03
4.140000000000000000e+03,1.133519818806438817e-15,-3.846480467473156750e-08,-9.681510037837648269e+03,1.091697865252439528e-04,-2.594325670529793115e+03
4.200000000000000000e+03,1.134238102745710464e-15,-5.928040991420857608e-08,-9.787348199645552086e+03,1.104997623313010722e-04,-2.634768336246416311e+03
4.260000000000000000e+03,1.138981487250334546e-15,-4.339244696893729270e-08,-9.890683303674108174e+03,1.118256007763698357e-04,-2.675272143612948184e+03
4.320000000000000000e+03,1.145378280067999022e-15,-2.724937075981870294e-08,-9.995707080210910135e+03,1.131473181063300611e-04,-2.715835818804557675e+03
4.380000000000000000e+03,1.145080124470565508e-15,-5.244191925157792866e-08,-1.009661148029898686e+04,1.144649379838841340e-04,-2.756460042215137491e+03
4.440000000000000000e+03,1.148901937128576911e-15,-4.068579073646105826e-08,-1.019015246947233572e+04,1.157784472610818508e-04,-2.797136166037278144e+03
4.500000000000000000e+03,1.154065449975039126e-15,-2.321257852599956095e-08,-1.028214565888106881e+04,1.170878241563349463e-04,-2.837856359030146905e+03
4.560000000000000000e+03,1.155203862256148906e-15,-2.918477548519149423e-08,-1.037346294841082272e+04,1.183930455472277085e-04,-2.878617550209974979e+03
4.620000000000000000e+03,1.159784616434900162e-15,-1.144508132711052895e-08,-1.046499785200973565e+04,1.196942532550492657e-04,-2.919422851092094788e+03
4.680000000000000000e+03,1.164338265559339280e-15,-3.179184204782359302e-08,-1.055561400272537139e+04,1.209914233447273235e-04,-2.960271093526651839e+03
4.740000000000000000e+03,1.169772828948922871e-15,-1.838498064898885787e-08,-1.064457504204261750e+04,1.222845017249922105e-04,-3.001157741162481670e+03
4.800000000000000000e+03,1.172835700086194421e-15,-3.569493856048211455e-08,-1.073167104381468016e+04,1.235737578409389602e-04,-3.042090360598370353e+03
4.860000000000000000e+03,1.190101619683026080e-15,-6.220443538040854037e-08,-1.081394478832695677e+04,1.248592006120857322e-04,-3.083064975495462477e+03
4.920000000000000000e+03,1.191023191529638758e-15,-4.148796506342478096e-08,-1.089525249796401658e+04,1.261406800818398917e-04,-3.124070883160163703e+03
4.980000000000000000e+03,1.190264250008898905e-15,-6.691607268294319510e-08,-1.097257081110623403e+04,1.274181344664823202e-04,-3.165104003862147692e+03
5.040000000000000000e+03,1.193245805983234042e-15,-5.286028681439347565e-08,-1.104302205180725286e+04,1.286915904504737568e-04,-3.206157510451550024e+03
5.100000000000000000e+03,1.203301781133037096e-15,-4.528192221187055111e-08,-1.111154728981127118e+04,1.299610675789029750e-04,-3.247225650882497575e+03
5.160000000000000000e+03,1.203654146839094885e-15,-2.633760232129134238e-08,-1.118305046481848149e+04,1.312266249181129644e-04,-3.288308698028543859e+03
5.220000000000000000e+03,1.204196247925337637e-15,-5.012907422496937215e-08,-1.125456142203701529e+04,1.324883520023121956e-04,-3.329412150113234475e+03
5.280000000000000000e+03,1.209725679005013710e-15,-4.413277565618045628e-08,-1.132030370118259634e+04,1.337462498693425459e-04,-3.370532549389311953e+03
5.340000000000000000e+03,1.213926962423395040e-15,-2.020487954723648727e-08,-1.138478177091282487e+04,1.350002132863196242e-04,-3.411660428356547072e+03
5.400000000000000000e+03,1.212815655196597397e-15,-4.156299837632104754e-08,-1.144725414517993158e+04,1.362503199818509167e-04,-3.452797141559668489e+03
5.460000000000000000e+03,1.215932736442493223e-15,-1.352418621536344290e-08,-1.150946482230321089e+04,1.374965483073145632e-04,-3.493938078788312851e+03
5.520000000000000000e+03,1.215878526333868948e-15,-3.621789801400154829e-08,-1.157151229230828903e+04,1.387388047970583810e-04,-3.535080249325628756e+03
5.580000000000000000e+03,1.219076922742701186e-15,-3.327249942230992019e-08,-1.162966760551482366e+04,1.399773443869492475e-04,-3.576229968525069580e+03
5.640000000000000000e+03,1.393633472512867399e-15,-1.259800228581298143e-07,-1.168527274680946539e+04,1.412120779567623994e-04,-3.617379771682195042e+03
5.700000000000000000e+03,1.396560818378578261e-15,-1.055609573086258024e-07,-1.174103680730119959e+04,1.424429735790708261e-04,-3.658525623223295497e+03
5.760000000000000000e+03,1.397672125605375903e-15,-1.272255758522078395e-07,-1.179533345158088014e+04,1.436700304563138066e-04,-3.699666902077759005e+03
5.820000000000000000e+03,1.610690747444465387e-15,-3.991590347141027451e-07,-1.184451911547631971e+04,1.448932534720160509e-04,-3.740799705223027559e+03
5.880000000000000000e+03,1.618551213194985294e-15,-3.872132765536662191e-07,-1.189099613703541581e+04,1.461125511483183357e-04,-3.781915015650793521e+03
5.940000000000000000e+03,1.620258831616649964e-15,-3.577424649847671390e-07,-1.194210123122181358e+04,1.473280057974819975e-04,-3.823014595673499571e+03
6.000000000000000000e+03,1.620746722594268441e-15,-3.817217475443612784e-07,-1.199620994250977310e+04,1.485397173201082825e-04,-3.864106822523423489e+03
6.060000000000000000e+03,1.628905343942221862e-15,-3.978489075961988419e-07,-1.204650257367267841e+04,1.497475535716478188e-04,-3.905186385220441025e+03
6.120000000000000000e+03,1.636684494529805356e-15,-4.227676981827244163e-07,-1.209096227378097683e+04,1.509517019871941211e-04,-3.946255647711919664e+03
6.180000000000000000e+03,1.636684494529805356e-15,-3.951136022806167603e-07,-1.213625938951066746e+04,1.521520512110734571e-04,-3.987304999448360832e+03
6.240000000000000000e+03,1.638066852299724374e-15,-4.225598786433693022e-07,-1.218316108726244420e+04,1.533486205120215763e-04,-4.028337072252632879e+03
6.300000000000000000e+03,1.645141271475192291e-15,-4.265712050255388021e-07,-1.222678434832428320e+04,1.545414107415017202e-04,-4.069350102367730869e+03
6.360000000000000000e+03,1.654004624235261289e-15,-4.475577952689491212e-07,-1.226686850881694045e+04,1.557305688588128938e-04,-4.110346192718502607e+03
6.420000000000000000e+03,1.665768217806729012e-15,-4.611847543856129050e-07,-1.230300736863710335e+04,1.569160078088467224e-04,-4.151316985223818847e+03
6.480000000000000000e+03,2.158267054658269402e-15,-8.480074029648676515e-07,-1.233601139791214882e+04,1.580976589657772909e-04,-4.192255209047178141e+03
6.540000000000000000e+03,2.159405466939379181e-15,-8.201459422707557678e-07,-1.237254567131150725e+04,1.592754875343877614e-04,-4.233156887434151940e+03
6.600000000000000000e+03,2.158782050690200016e-15,-8.502574928570538759e-07,-1.240977471785670241e+04,1.604495691552155600e-04,-4.274028511750862890e+03
6.660000000000000000e+03,2.164447007041436777e-15,-8.493698260281234980e-07,-1.244119295298527868e+04,1.616198864195612863e-04,-4.314865749260869052e+03
6.720000000000000000e+03,2.167536983233020464e-15,-8.338429324794560671e-07,-1.247095093147130137e+04,1.627863127837671990e-04,-4.355658827774534075e+03
6.780000000000000000e+03,2.174530087245551968e-15,-8.211609383579343557e-07,-1.250238567642130147e+04,1.639489843850533662e-04,-4.396411862077624392e+03
6.840000000000000000e+03,2.174963768114546170e-15,-8.434326446149498224e-07,-1.253173350850497809e+04,1.651079094192456961e-04,-4.437125264266458544e+03
6.900000000000000000e+03,2.175858234906846711e-15,-8.143415470840409398e-07,-1.256223019426755673e+04,1.662629926333131127e-04,-4.477792399891339301e+03
6.960000000000000000e+03,2.177891113980257032e-15,-8.394763426622375846e-07,-1.259513947278939304e+04,1.674143120554867636e-04,-4.518419127611725344e+03
7.020000000000000000e+03,2.188380769999054287e-15,-8.580436769989319146e-07,-1.262579267114623872e+04,1.685619935873410794e-04,-4.559009877485294965e+03
7.080000000000000000e+03,2.190251018746591782e-15,-8.720835467102006078e-07,-1.265318778565230605e+04,1.697059962447243324e-04,-4.599560371269775715e+03
7.140000000000000000e+03,2.190901540050083085e-15,-8.547294783056713641e-07,-1.267929778908553089e+04,1.708461562587055161e-04,-4.640060404085114897e+03
7.200000000000000000e+03,2.197650698573805350e-15,-8.664210326969623566e-07,-1.270551222095786216e+04,1.719827035364910218e-04,-4.680518292274264240e+03
7.260000000000000000e+03,2.209468502253897348e-15,-8.667166184750385582e-07,-1.273099123227104610e+04,1.731157045274269292e-04,-4.720935311466951134e+03
7.320000000000000000e+03,2.211962167250614009e-15,-8.950819392339326441e-07,-1.275222428609495910e+04,1.742449784371517417e-04,-4.761302204731661732e+03
7.380000000000000000e+03,2.214835303007700595e-15,-8.668794180266559124e-07,-1.277169918628758205e+04,1.753703500156720142e-04,-4.801606633653265817e+03
7.440000000000000000e+03,2.217166337678544430e-15,-8.926017471821978688e-07,-1.279025780257183942e+04,1.764918937000249015e-04,-4.841850743974753641e+03
7.500000000000000000e+03,2.217030812406983742e-15,-8.689521564519964159e-07,-1.280905086436266720e+04,1.776096384325815541e-04,-4.882032894632528951e+03
7.560000000000000000e+03,2.216407396157804577e-15,-8.901088222046382725e-07,-1.282895046372413526e+04,1.787236016370330699e-04,-4.922155064349987697e+03
7.620000000000000000e+03,2.239067221562751620e-15,-8.813913154881447554e-07,-1.284583839036513746e+04,1.798339336521503678e-04,-4.962221599326763680e+03
7.680000000000000000e+03,2.245220068891606857e-15,-8.781516953604295850e-07,-1.286086051783770199e+04,1.809404546889261983e-04,-5.002221996235624829e+03
7.740000000000000000e+03,2.248147414757317719e-15,-8.536007953807711601e-07,-1.287851467652377687e+04,1.820431374882261043e-04,-5.042154161254402425e+03
7.800000000000000000e+03,2.248093204648693444e-15,-8.790520951151847839e-07,-1.289565057114715455e+04,1.831422655132733846e-04,-5.082031575365992467e+03
7.860000000000000000e+03,2.248553990571999783e-15,-8.513115972164086998e-07,-1.291460450115586536e+04,1.842377687712208818e-04,-5.121849555222524032e+03
7.920000000000000000e+03,2.248716620897872609e-15,-8.780143616604618728e-07,-1.293504984040465024e+04,1.853296147375191902e-04,-5.161610336138327511e+03
7.980000000000000000e+03,2.253324480130936003e-15,-8.850774975144304335e-07,-1.295084839563040987e+04,1.864178313262838547e-04,-5.201312734403652030e+03
8.040000000000000000e+03,2.253622635728369517e-15,-8.670867828186601400e-07,-1.296639046271351435e+04,1.875023835544519608e-04,-5.240951860250776008e+03
8.100000000000000000e+03,2.254598417683606471e-15,-8.910383257898502052e-07,-1.297912191347620319e+04,1.885830680543414389e-04,-5.280518585011942378e+03
8.160000000000000000e+03,2.254110526705987994e-15,-8.597253327025100589e-07,-1.299432393054551903e+04,1.896599836939783868e-04,-5.320013670525800990e+03
8.220000000000000000e+03,2.254923678335352122e-15,-8.907409210223704576e-07,-1.301146971364233650e+04,1.907333966477019389e-04,-5.359452293937620198e+03
8.280000000000000000e+03,2.256685506865641067e-15,-8.654860721435397863e-07,-1.302687276568906418e+04,1.918030885264241129e-04,-5.398823586420994616e+03
8.340000000000000000e+03,2.257146292788947406e-15,-8.965907909441739321e-07,-1.303885787055093533e+04,1.928690961085629207e-04,-5.438128118743221421e+03
8.400000000000000000e+03,2.258122074744184360e-15,-8.697043085703626275e-07,-1.304896076733047084e+04,1.939313564120335098e-04,-5.477357923512272464e+03
8.460000000000000000e+03,2.257607078712253745e-15,-8.841261660563759506e-07,-1.306138966697528303e+04,1.949899090097042458e-04,-5.516515225211810503e+03
8.520000000000000000e+03,2.258203389907120773e-15,-8.661954780109226704e-07,-1.307630487148590328e+04,1.960449358850388003e-04,-5.555608483961463207e+03
8.580000000000000000e+03,2.258013654526935809e-15,-8.899669410311616957e-07,-1.309075758839178707e+04,1.970964568552207121e-04,-5.594640691143352342e+03
8.640000000000000000e+03,2.262838354194496304e-15,-8.805391189525835216e-07,-1.310164437202687805e+04,1.981442317239055046e-04,-5.633598950665752454e+03
8.700000000000000000e+03,2.268042524622426726e-15,-8.848674042383208871e-07,-1.311028336252414738e+04,1.991882875905874573e-04,-5.672481417901786699e+03
8.760000000000000000e+03,2.272189597932183780e-15,-8.715160220162943006e-07,-1.311796082229807689e+04,2.002286949485674098e-04,-5.711288149714942847e+03
8.820000000000000000e+03,2.289618147854888264e-15,-8.573761078878305852e-07,-1.312716885073174490e+04,2.012656010282947382e-04,-5.750024804389316159e+03
8.880000000000000000e+03,2.295201789043188612e-15,-8.712895578355528414e-07,-1.313663342528244357e+04,2.022989090374505182e-04,-5.788688008881938913e+03
8.940000000000000000e+03,2.299050706755512152e-15,-8.943043212639167905e-07,-1.314241792090485978e+04,2.033284743472181500e-04,-5.827270128996280619e+03
9.000000000000000000e+03,2.298996496646887877e-15,-8.629394869785755873e-07,-1.315166986409329729e+04,2.043544360467565522e-04,-5.865774247598625152e+03
9.060000000000000000e+03,2.299457282570194216e-15,-8.871056706993840635e-07,-1.316644426351938455e+04,2.053767387597283929e-04,-5.904203941014385236e+03
9.120000000000000000e+03,2.299077811809824290e-15,-9.126360964728519320e-07,-1.317553409524271592e+04,2.063953894011105099e-04,-5.942560297822819848e+03
9.180000000000000000e+03,2.299321757298633528e-15,-8.823863026918843389e-07,-1.318244276127907870e+04,2.074105842070420036e-04,-5.980845478251632812e+03
9.240000000000000000e+03,2.300433064525431170e-15,-9.071782187675125897e-07,-1.318876452394776425e+04,2.084222552454916986e-04,-6.019056263768353347e+03
9.300000000000000000e+03,2.300378854416806895e-15,-8.784891178947873414e-07,-1.319592932182580807e+04,2.094301573589532389e-04,-6.057179967834516901e+03
9.360000000000000000e+03,2.300595694851303996e-15,-9.047671483131125569e-07,-1.320363252748801096e+04,2.104345636612932433e-04,-6.095230279045912539e+03
9.420000000000000000e+03,2.301381741426355987e-15,-8.785882528172805905e-07,-1.321107656117210900e+04,2.114354993683623595e-04,-6.133206337754807464e+03
9.480000000000000000e+03,2.302249103164344390e-15,-8.902270565158687532e-07,-1.322092801259354746e+04,2.124328870551252918e-04,-6.171106502964467836e+03
9.540000000000000000e+03,2.440213829613124830e-15,-8.610295481048524380e-07,-1.323084663684746010e+04,2.134268160743994216e-04,-6.208935446690526078e+03
9.600000000000000000e+03,2.440810140807991857e-15,-8.864344636094756424e-07,-1.323606451009726516e+04,2.144171267928180564e-04,-6.246684894853554397e+03
9.660000000000000000e+03,2.440593300373494756e-15,-8.530150807928293943e-07,-1.324259001178218568e+04,2.154037897422005879e-04,-6.284349092521077182e+03
9.720000000000000000e+03,2.440566195319182619e-15,-8.838478606776334345e-07,-1.324921253910465566e+04,2.163871571000976744e-04,-6.321946004083060870e+03
9.780000000000000000e+03,2.444442218085818297e-15,-8.684783097123727202e-07,-1.325004868836641981e+04,2.173669302651499925e-04,-6.359457984526930886e+03
9.840000000000000000e+03,2.444388007977194022e-15,-8.449624147033318877e-07,-1.325345844978928289e+04,2.183429869859397046e-04,-6.396876990531020056e+03
9.900000000000000000e+03,2.444659058520315398e-15,-8.670695024193264544e-07,-1.325867220112592804e+04,2.193157234560680932e-04,-6.434222787158910251e+03
9.960000000000000000e+03,2.447234038679968471e-15,-8.407396308030001819e-07,-1.326549571802171704e+04,2.202849828435859568e-04,-6.471488638309930138e+03
1.002000000000000000e+04,2.449348232916315204e-15,-8.596543921157717705e-07,-1.327452799202437745e+04,2.212508518226578315e-04,-6.508681197048143076e+03
1.008000000000000000e+04,2.452953205139829507e-15,-8.852039172779768705e-07,-1.327952056774316952e+04,2.222132401342915425e-04,-6.545795894533981482e+03
1.014000000000000000e+04,2.452600839433771718e-15,-8.568758858018554747e-07,-1.328561266660034198e+04,2.231720396186517537e-04,-6.582824703402650812e+03
1.020000000000000000e+04,2.452682154596708131e-15,-8.883898772182874382e-07,-1.329086419910453878e+04,2.241274984599239076e-04,-6.619780366060432243e+03
1.026000000000000000e+04,2.452763469759644543e-15,-8.621864253655076027e-07,-1.329335303178388858e+04,2.250796251154843508e-04,-6.656659114921581931e+03
1.032000000000000000e+04,2.457235803721147249e-15,-8.836614142637699842e-07,-1.329555609302917401e+04,2.260282384829989991e-04,-6.693452145857436335e+03
1.038000000000000000e+04,2.458401321056569167e-15,-8.521119525539688766e-07,-1.330069732625112920e+04,2.269734308619206556e-04,-6.730162742522129520e+03
1.044000000000000000e+04,2.458103165459135653e-15,-8.859005902195349336e-07,-1.330450125227684839e+04,2.279153753118161600e-04,-6.766801266348533318e+03
1.050000000000000000e+04,2.459729468717863909e-15,-8.643983164802193642e-07,-1.330263312795620914e+04,2.288538343533434130e-04,-6.803351960505844545e+03
1.056000000000000000e+04,2.463578386430187450e-15,-8.391752999159507453e-07,-1.330308283487633526e+04,2.297887066119819557e-04,-6.839807762741352235e+03
1.062000000000000000e+04,2.468375981043435807e-15,-8.186652848962694407e-07,-1.330964772462106521e+04,2.307201753343818740e-04,-6.876180336875304420e+03
1.068000000000000000e+04,2.469270447835736348e-15,-8.408751455135643482e-07,-1.331829420391204440e+04,2.316482795833668088e-04,-6.912476235745894883e+03
1.074000000000000000e+04,2.478188010704429622e-15,-8.443794285994954407e-07,-1.332465492764171722e+04,2.325729529634982965e-04,-6.948692505676345718e+03
1.080000000000000000e+04,2.480979831298579796e-15,-8.299502951558679342e-07,-1.333073204790477394e+04,2.334944940087667798e-04,-6.984840460498868197e+03
